bib_id	sequence	mrcfield	dz	rawfield
10171912	X48	700	http://id.loc.gov/authorities/names/nr98009736	=700  1\$aEngelbert, Thomas,$eeditor.$0http://id.loc.gov/authorities/names/nr98009736$0http://viaf.org/viaf/66610342
6222662	X35	651	http://id.worldcat.org/fast/fst01204155	=651  \7$aUnited States$2fast$0http://id.worldcat.org/fast/fst01204155$0http://id.loc.gov/authorities/names/n78095330
6478701	X30	650	http://id.loc.gov/authorities/subjects/sh2008108225	=650  \0$aNational security$zChina.$0http://id.loc.gov/authorities/subjects/sh2008108225
9521671	X26	650	http://id.loc.gov/authorities/subjects/sh2003003065	=650  \0$aPeace-building.$0http://id.loc.gov/authorities/subjects/sh2003003065
6946320	X38	650	http://id.worldcat.org/fast/fst00814957	=650  \7$aArms transfers$xPolitical aspects$2fast$0http://id.worldcat.org/fast/fst00814957
8056163	X25	650	http://id.worldcat.org/fast/fst01083250	=650  \7$aPublic welfare$2fast$0http://id.worldcat.org/fast/fst01083250
10064906	X28	630	http://id.loc.gov/authorities/names/n79018834	=630  00$aBeowulf$xCriticism, Textual.$0http://id.loc.gov/authorities/names/n79018834$0http://viaf.org/viaf/316753795
7189470	X23	650	http://id.loc.gov/authorities/subjects/sh2010111885	=650  \0$aSex customs$zJapan.$0http://id.loc.gov/authorities/subjects/sh2010111885
7730694	X24	650	http://id.worldcat.org/fast/fst00958221	=650  \7$aHistoriography$2fast$0http://id.worldcat.org/fast/fst00958221
7860817	X17	100	http://id.loc.gov/authorities/names/n2006079713	=100  1\$aWang, Tova Andrea.$0http://id.loc.gov/authorities/names/n2006079713$0http://viaf.org/viaf/210248064
7514703	X23	600	http://viaf.org/viaf/13992580	=600  17$aRogers, Susan Fox$2fast/NIC/NAC$0http://viaf.org/viaf/13992580
8441788	X39	700	http://id.loc.gov/authorities/names/nr2001012207	=700  1\$aMcRae, Dave,$d1977-$etranslator.$0http://id.loc.gov/authorities/names/nr2001012207$0http://viaf.org/viaf/262168066
5711802	X34	700	http://viaf.org/viaf/37002022	=700  1\$aBarany, Zoltan D.$0http://id.loc.gov/authorities/names/n93014027$0http://viaf.org/viaf/37002022
6696515	X25	651	http://id.loc.gov/authorities/subjects/sh85051506	=651  \0$aFrance$xSocial life and customs$y20th century.$0http://id.loc.gov/authorities/subjects/sh85051506
6150200	X33	650	http://id.worldcat.org/fast/fst01710960	=650  \7$aEnglish literature$xEarly modern$2fast$0http://id.worldcat.org/fast/fst01710960
5822002	X37	651	http://id.worldcat.org/fast/fst01210272	=651  \7$aGermany$2fast$0http://id.worldcat.org/fast/fst01210272$0http://id.loc.gov/authorities/names/n80125931
8784603	X29	650	http://id.loc.gov/authorities/subjects/sh85073707	=650  \0$aLabor laws and legislation$zUnited States.$0http://id.loc.gov/authorities/subjects/sh85073707
5960148	X42	655	http://id.worldcat.org/fast/fst01411628	=655  \7$aHistory$2fast$0http://id.worldcat.org/fast/fst01411628
7086542	X20	100	http://id.loc.gov/authorities/names/no2010059159	=100  1\$aOsnowitz, Debra.$0http://id.loc.gov/authorities/names/no2010059159$0http://viaf.org/viaf/120536282
8309800	X35	700	http://id.loc.gov/authorities/names/no96038124	=700  1\$aLorton, David,$d1945-2011,$etranslator.$0http://id.loc.gov/authorities/names/no96038124$0http://viaf.org/viaf/117217147
9189967	X29	650	http://id.worldcat.org/fast/fst00917857	=650  \7$aExecutive power.$2fast$0http://id.worldcat.org/fast/fst00917857
8794537	X16	100	http://viaf.org/viaf/97899099	=100  1\$aHerb, Michael,$d1966-$eauthor.$0http://id.loc.gov/authorities/names/n98090114$0http://viaf.org/viaf/97899099
9672423	X34	651	http://id.worldcat.org/fast/fst01244461	=651  \7$aIndonesia$zJava.$2fast$0http://id.worldcat.org/fast/fst01244461
8305850	X53	650	http://d-nb.info/gnd/4214435-8	=650  \7$aEthnomedizin.$0http://d-nb.info/gnd/4214435-8$2gnd
9115413	X34	650	http://id.loc.gov/authorities/subjects/sh2010119316	=650  \0$aWork environment$zUnited States.$0http://id.loc.gov/authorities/subjects/sh2010119316
7486703	X40	830	http://id.loc.gov/authorities/names/n83745343	=830  \0$aCornell studies in security affairs.$0http://id.loc.gov/authorities/names/n83745343
6222659	X27	611	http://id.worldcat.org/fast/fst01139707	=611  27$aSusquehanna Claim (1753-1808)$2fast$0http://id.worldcat.org/fast/fst01139707
8392050	X30	650	http://id.worldcat.org/fast/fst01069781	=650  \7$aPolitical science.$2fast$0http://id.worldcat.org/fast/fst01069781
8309715	X30	650	http://id.worldcat.org/fast/fst01094927	=650  \7$aRepresentation (Philosophy)$2fast$0http://id.worldcat.org/fast/fst01094927
8924436	X15	100	http://viaf.org/viaf/212819545	=100  1\$aAllen, Holly,$d1965-$eauthor.$0http://id.loc.gov/authorities/names/no2014129322$0http://viaf.org/viaf/212819545
5811569	X16	100	http://viaf.org/viaf/61664620	=100  1\$aWoods, Ngaire.$0http://id.loc.gov/authorities/names/no96036999$0http://viaf.org/viaf/61664620
8794566	X41	700	http://id.loc.gov/authorities/names/n88173194	=700  1\$aTsunekawa, Keiichi,$d1948-$eeditor.$0http://id.loc.gov/authorities/names/n88173194$0http://viaf.org/viaf/40935185
8618240	X34	651	http://id.worldcat.org/fast/fst01206073	=651  \7$aChina.$2fast$0http://id.worldcat.org/fast/fst01206073$0http://id.loc.gov/authorities/names/n79091151
9709094	X28	650	http://id.worldcat.org/fast/fst00917302	=650  \7$aEvolution (Biology)$2fast$0http://id.worldcat.org/fast/fst00917302
8392034	X37	655	http://id.worldcat.org/fast/fst01411628	=655  \7$aHistory.$2fast$0http://id.worldcat.org/fast/fst01411628
7053370	X28	650	http://id.loc.gov/authorities/subjects/sh85078535	=650  \0$aLove in motion pictures.$0http://id.loc.gov/authorities/subjects/sh85078535
6692620	X27	650	http://id.worldcat.org/fast/fst00874793	=650  \7$aConflict management$xReligious aspects$2fast$0http://id.worldcat.org/fast/fst00874793
9190218	X38	655	http://id.worldcat.org/fast/fst01411628	=655  \7$aHistory.$2fast$0http://id.worldcat.org/fast/fst01411628
7760556	X30	651	http://id.loc.gov/authorities/names/n79032874	=651  \7$aVietnam (Democratic Republic)$2fast$0http://id.worldcat.org/fast/fst01864829$0http://id.loc.gov/authorities/names/n79032874
9452611	X15	100	http://id.loc.gov/authorities/names/no2015127710	=100  1\$aUnger, Daniel H.,$eauthor.$0http://id.loc.gov/authorities/names/no2015127710$0http://viaf.org/viaf/380144647692534910486
9223496	X29	650	http://id.worldcat.org/fast/fst00813666	=650  \7$aArchitecture, Domestic$2fast$0http://id.worldcat.org/fast/fst00813666
10162207	X38	655	http://id.worldcat.org/fast/fst01411628	=655  \7$aHistory.$2fast$0http://id.worldcat.org/fast/fst01411628
9601120	X33	650	http://id.worldcat.org/fast/fst01894303	=650  \7$aLabor and globalization.$2fast$0http://id.worldcat.org/fast/fst01894303
9763643	X32	600	http://viaf.org/viaf/111355448	=600  10$aSevareid, Eric,$d1912-1992.$0http://id.loc.gov/authorities/names/n79064613$0http://viaf.org/viaf/111355448
9542135	X33	700	http://id.loc.gov/authorities/names/n2011008361	=700  1\$aKelman, Ilan,$eeditor.$0http://id.loc.gov/authorities/names/n2011008361$0http://viaf.org/viaf/255182629
5956832	X32	650	http://id.worldcat.org/fast/fst00824166	=650  \7$aAutonomy (Philosophy)$2fast$0http://id.worldcat.org/fast/fst00824166
6881830	X37	651	http://id.loc.gov/authorities/subjects/sh85056605	=651  \7$aGreat Britain$2fast$0http://id.worldcat.org/fast/fst01204623$0http://id.loc.gov/authorities/subjects/sh85056605
6794545	X41	651	http://id.loc.gov/authorities/names/n79007233	=651  \7$aCanada$2fast$0http://id.worldcat.org/fast/fst01204310$0http://id.loc.gov/authorities/names/n79007233
7588939	X38	655	http://id.worldcat.org/fast/fst01411628	=655  \7$aHistory$2fast$0http://id.worldcat.org/fast/fst01411628
7091010	X28	655	http://id.worldcat.org/fast/fst01411628	=655  \7$aHistory$2fast$0http://id.worldcat.org/fast/fst01411628
8897191	X28	650	http://id.worldcat.org/fast/fst00890123	=650  \7$aDemocratization.$2fast$0http://id.worldcat.org/fast/fst00890123
5956832	X36	650	http://id.worldcat.org/fast/fst00967600	=650  \7$aImagination (Philosophy)$2fast$0http://id.worldcat.org/fast/fst00967600
5788995	X31	655	http://id.worldcat.org/fast/fst01411628	=655  \7$aHistory$2fast$0http://id.worldcat.org/fast/fst01411628
8001360	X27	651	http://id.loc.gov/authorities/subjects/sh92005863	=651  \0$aFrance$xSocial life and customs$y18th century.$0http://id.loc.gov/authorities/subjects/sh92005863
9115382	X47	710	http://id.loc.gov/authorities/names/no2007088509	=710  2\$aebrary, Inc.$0http://id.loc.gov/authorities/names/no2007088509$0http://viaf.org/viaf/133005699
10243927	X17	100	http://id.loc.gov/authorities/names/n98932862	=100  1\$aTan, Khee Giap,$eauthor.$0http://id.loc.gov/authorities/names/n98932862$0http://viaf.org/viaf/75640644
5728940	X24	100	http://viaf.org/viaf/19099374	=100  1\$aKingma, Mireille.$0http://id.loc.gov/authorities/names/n2005180274$0http://viaf.org/viaf/19099374
8868947	X41	650	http://d-nb.info/gnd/4039409-8	=650  \7$aNationale Minderheit.$0http://d-nb.info/gnd/4039409-8$2gnd
6006560	X28	650	http://id.loc.gov/authorities/subjects/sh2008111171	=650  \0$aSocial change$zUnited States.$0http://id.loc.gov/authorities/subjects/sh2008111171
6946298	X43	650	http://id.worldcat.org/fast/fst00836454	=650  \7$aBooks and reading$2fast$0http://id.worldcat.org/fast/fst00836454
6276535	X19	100	http://viaf.org/viaf/94726285	=100  1\$aSiegelbaum, Lewis H.$0http://id.loc.gov/authorities/names/n82151871$0http://viaf.org/viaf/94726285
9711602	X30	651	http://id.loc.gov/authorities/names/n79070075	=651  \7$aCosta Rica.$2fast$0http://id.worldcat.org/fast/fst01205604$0http://id.loc.gov/authorities/names/n79070075
8432903	X34	651	http://id.loc.gov/authorities/subjects/sh85008627	=651  \7$aSoutheast Asia.$2fast$0http://id.worldcat.org/fast/fst01240499$0http://id.loc.gov/authorities/subjects/sh85008627
5821996	X21	650	http://id.loc.gov/authorities/subjects/sh2008111892	=650  \0$aSocial security$zJapan.$0http://id.loc.gov/authorities/subjects/sh2008111892
10064918	X41	650	http://id.worldcat.org/fast/fst01015936	=650  \7$aMemory$xReligious aspects$xJudaism.$2fast$0http://id.worldcat.org/fast/fst01015936
9223486	X34	700	http://viaf.org/viaf/29818541	=700  1\$aBoyer, Dominic,$eeditor.$0http://id.loc.gov/authorities/names/n2005031854$0http://viaf.org/viaf/29818541
8486805	X18	100	http://viaf.org/viaf/253741197	=100  1\$aSoll, David,$d1971-$0http://id.loc.gov/authorities/names/no2012111377$0http://viaf.org/viaf/253741197
6682499	X34	650	http://id.worldcat.org/fast/fst00870669	=650  \7$aCommunity and school$2fast$0http://id.worldcat.org/fast/fst00870669
9223510	X34	655	http://id.worldcat.org/fast/fst01411628	=655  \7$aHistory.$2fast$0http://id.worldcat.org/fast/fst01411628
7051604	X30	650	http://id.worldcat.org/fast/fst01748600	=650  \7$aRight to water$2fast$0http://id.worldcat.org/fast/fst01748600
7673575	X27	650	http://id.worldcat.org/fast/fst00818153	=650  \7$aArts, Modern$xPhilosophy$2fast$0http://id.worldcat.org/fast/fst00818153
9898353	X24	610	http://id.loc.gov/authorities/names/no2008056992	=610  20$aS. Rajaratnam School of International Studies.$0http://id.loc.gov/authorities/names/no2008056992$0http://viaf.org/viaf/155818728
10171906	X34	700	http://id.loc.gov/authorities/names/n2010220126	=700  1\$aLee, Julian C. H.,$eeditor.$0http://id.loc.gov/authorities/names/n2010220126$0http://viaf.org/viaf/107980600
